SiteName,Region,Season,Date,Count
Strandfontein Sewage Works,WC,W,15/06/1986,31
Strandfontein Sewage Works,WC,W,14/08/1994,30
Strandfontein Sewage Works,WC,O,13/05/1995,30
Langebaan: Lagoon Combined (Western Cape),WC,S,22/02/1986,29
Lake St Lucia (KwaZulu-Natal),KZN,W,13/07/2002,29
Wadrif Saltpan (Western Cape),WC,S,20/01/2010,28
Langebaan: Lagoon Combined (Western Cape),WC,W,15/07/2001,27
Lake St Lucia (KwaZulu-Natal),KZN,S,21/01/2009,27
Lake Chrissie (Mpumalanga),Mpum,O,09/10/1993,26
Strandfontein Sewage Works,WC,W,09/07/1994,26
Strandfontein Sewage Works,WC,O,15/10/1983,26
Strandfontein Sewage Works,WC,O,15/08/1991,26
Strandfontein Sewage Works,WC,O,15/05/1986,25
Strandfontein Sewage Works,WC,O,15/10/1987,25
Kamfers Dam (Northern Cape),NC,S,23/01/1996,24
Kamfers Dam (Northern Cape),NC,W,31/07/1996,24
Bar None Saltpan (Eastern Cape),EC,S,03/02/2008,24
Strandfontein Sewage Works,WC,W,15/07/1984,24
Langebaan: Lagoon Combined (Western Cape),WC,W,21/06/1975,23
Langebaan: Lagoon Combined (Western Cape),WC,W,24/07/1976,23
Langebaan: Lagoon Combined (Western Cape),WC,S,08/03/1998,23
Bar None Saltpan (Eastern Cape),EC,W,25/06/2000,23
Strandfontein Sewage Works,WC,O,15/06/1987,23
Langebaan: Lagoon Combined (Western Cape),WC,W,23/06/1990,22
Bar None Saltpan (Eastern Cape),EC,S,19/01/1997,22
Strandfontein Sewage Works,WC,O,15/08/1989,22
Strandfontein Sewage Works,WC,W,06/08/2000,22
Langebaan: Lagoon Combined (Western Cape),WC,S,21/03/2001,21
Lake St Lucia (KwaZulu-Natal),KZN,W,12/07/1997,21
Kamfers Dam (Northern Cape),NC,S,13/01/1995,21
Kamfers Dam (Northern Cape),NC,W,14/07/1995,20
Bar None Saltpan (Eastern Cape),EC,W,11/07/1998,20
Strandfontein Sewage Works,WC,O,15/09/1986,20
Strandfontein Sewage Works,WC,O,11/06/1994,20
Strandfontein Sewage Works,WC,W,09/08/1998,20
Strandfontein Sewage Works,WC,O,11/11/2001,20
Langebaan: Lagoon Combined (Western Cape),WC,S,01/02/1997,19
Strandfontein Sewage Works,WC,O,10/06/2001,19
Bar None Saltpan (Eastern Cape),EC,W,02/07/1995,18
Tweelingspan: East (Mpumalanga),Mpum,O,27/08/1993,18
Strandfontein Sewage Works,WC,O,15/09/1983,18
Strandfontein Sewage Works,WC,O,11/05/2003,17
Bar None Saltpan (Eastern Cape),EC,W,22/07/2007,16
Strandfontein Sewage Works,WC,W,11/07/1992,16
Strandfontein Sewage Works,WC,W,13/07/2001,15
Langebaan: Lagoon Combined (Western Cape),WC,S,02/03/1996,14
Bar None Saltpan (Eastern Cape),EC,S,18/01/1998,14
Wadrif Saltpan (Western Cape),WC,S,17/01/2011,14
Wadrif Saltpan (Western Cape),WC,W,05/08/2014,14
Wadrif Saltpan (Western Cape),WC,W,27/07/2015,14
Strandfontein Sewage Works,WC,W,15/07/1993,14
Strandfontein Sewage Works,WC,O,10/09/1994,14
Strandfontein Sewage Works,WC,O,08/09/2002,14
Kamfers Dam (Northern Cape),NC,S,13/01/1997,13
Wadrif Saltpan (Western Cape),WC,W,24/07/2012,13
Langebaan: Lagoon Combined (Western Cape),WC,S,13/03/1999,12
Kamfers Dam (Northern Cape),NC,S,08/01/1999,12
Strandfontein Sewage Works,WC,W,15/07/1989,12
Strandfontein Sewage Works,WC,O,10/10/1999,12
Lake St Lucia (KwaZulu-Natal),KZN,S,04/02/2014,11
Strandfontein Sewage Works,WC,W,15/07/1987,11
Bar None Saltpan (Eastern Cape),EC,S,21/01/2001,10
Tweelingspan: East (Mpumalanga),Mpum,W,22/07/1993,10
Strandfontein Sewage Works,WC,O,15/05/1990,10
Bar None Saltpan (Eastern Cape),EC,W,24/07/1999,9
Wadrif Saltpan (Western Cape),WC,W,17/07/2002,9
Strandfontein Sewage Works,WC,O,15/09/1992,9
Kamfers Dam (Northern Cape),NC,W,26/07/2005,8
Tweelingspan: East (Mpumalanga),Mpum,O,01/06/1993,8
Strandfontein Sewage Works,WC,W,13/08/1995,8
Lake St Lucia (KwaZulu-Natal),KZN,W,14/07/2001,7
Wadrif Saltpan (Western Cape),WC,W,21/07/2010,7
Strandfontein Sewage Works,WC,O,15/10/1984,7
Strandfontein Sewage Works,WC,W,15/07/1985,7
Langebaan: Lagoon Combined (Western Cape),WC,S,30/01/1977,6
Strandfontein Sewage Works,WC,O,15/04/1986,6
Langebaan: Lagoon Combined (Western Cape),WC,W,25/06/1988,5
Kamfers Dam (Northern Cape),NC,W,19/07/2000,5
Kamfers Dam (Northern Cape),NC,W,26/08/2007,5
Wadrif Saltpan (Western Cape),WC,W,11/08/2020,5
Bar None Saltpan (Eastern Cape),EC,W,06/07/2003,4
Wildevoelvlei (Western Cape),WC,W,13/07/2000,4
Strandfontein Sewage Works,WC,O,15/08/1988,4
Strandfontein Sewage Works,WC,O,15/10/1988,4
Strandfontein Sewage Works,WC,W,15/07/1991,4
Langebaan: Lagoon Combined (Western Cape),WC,S,26/02/1983,3
Bar None Saltpan (Eastern Cape),EC,S,14/01/1996,3
Bar None Saltpan (Eastern Cape),EC,W,14/07/1996,3
Bar None Saltpan (Eastern Cape),EC,W,14/07/2001,3
Mkhombo Dam (Mpumalanga),Mpum,S,23/01/2019,3
Wadrif Saltpan (Western Cape),WC,W,22/08/2007,3
Strandfontein Sewage Works,WC,W,15/08/1993,3
Strandfontein Sewage Works,WC,O,09/04/1994,3
Strandfontein Sewage Works,WC,O,14/05/1994,3
Strandfontein Sewage Works,WC,W,10/08/1997,3
Lake St Lucia (KwaZulu-Natal),KZN,S,13/01/2001,2
Lake Chrissie (Mpumalanga),Mpum,S,09/01/1993,2
Kamfers Dam (Northern Cape),NC,W,14/07/1997,2
Kamfers Dam (Northern Cape),NC,W,27/07/1999,2
Bar None Saltpan (Eastern Cape),EC,W,25/06/2002,2
Wadrif Saltpan (Western Cape),WC,S,27/01/2015,2
Wildevoelvlei (Western Cape),WC,W,04/07/2002,2
Strandfontein Sewage Works,WC,O,15/08/1984,2
Strandfontein Sewage Works,WC,O,15/09/1984,2
Strandfontein Sewage Works,WC,O,15/08/1990,2
Strandfontein Sewage Works,WC,W,08/08/1999,2
Strandfontein Sewage Works,WC,O,14/10/2001,2
Lake St Lucia (KwaZulu-Natal),KZN,W,22/07/2000,1
Marrick Pan (Northern Cape),NC,W,20/07/2006,1
Marrick Pan (Northern Cape),NC,S,17/01/2010,1
Lake Chrissie (Mpumalanga),Mpum,W,16/07/2005,1
Kamfers Dam (Northern Cape),NC,W,10/07/1998,1
Kamfers Dam (Northern Cape),NC,W,15/08/2004,1
Mkhombo Dam (Mpumalanga),Mpum,W,14/07/2018,1
Wadrif Saltpan (Western Cape),WC,S,26/01/1999,1
Wadrif Saltpan (Western Cape),WC,S,11/01/2012,1
Wadrif Saltpan (Western Cape),WC,S,29/01/2013,1
Wadrif Saltpan (Western Cape),WC,S,25/01/2016,1
Wadrif Saltpan (Western Cape),WC,S,17/01/2017,1
Wadrif Saltpan (Western Cape),WC,W,29/08/2019,1
Strandfontein Sewage Works,WC,W,11/07/1999,1
Strandfontein Sewage Works,WC,W,15/07/1983,1
Strandfontein Sewage Works,WC,O,15/08/1983,1
Strandfontein Sewage Works,WC,O,15/05/1985,1
Strandfontein Sewage Works,WC,O,14/06/1998,1
Strandfontein Sewage Works,WC,O,14/05/2000,1
Strandfontein Sewage Works,WC,O,09/09/2001,1
Strandfontein Sewage Works,WC,O,10/08/2014,1
